Date,Employee_ID,Employee_Name,Role,Contract_Type,Scheduled_Start,Scheduled_End,Actual_Clock_In,Actual_Clock_Out,Scheduled_Hours,Max_Allowed_Hours,Overtime_Hours,Status
2023-01-01,E062,Employee_62,Cashier,Seasonal,9,14,08:58,13:55,5,5,0,OK
2023-01-01,E083,Employee_83,Customer Assistant,Part-time,12,18,12:02,17:57,6,6,0,OK
2023-01-01,E075,Employee_75,Stocker,Full-time,12,20,12:02,20:02,8,8,0,OK
2023-01-01,E037,Employee_37,Cashier,Part-time,12,16,12:03,15:57,4,6,0,OK
2023-01-01,E023,Employee_23,Manager,Full-time,10,18,10:03,17:59,8,8,0,OK
2023-01-01,E043,Employee_43,Customer Assistant,Full-time,14,22,14:03,21:55,8,8,0,OK
2023-01-01,E080,Employee_80,Cashier,Temporary,6,13,06:03,12:55,7,7,0,OK
2023-01-01,E009,Employee_9,Customer Assistant,Seasonal,12,17,12:00,17:03,5,5,0,OK
2023-01-01,E085,Employee_85,Manager,Seasonal,6,10,06:04,09:56,4,5,0,OK
2023-01-01,E051,Employee_51,Manager,Temporary,6,12,06:03,12:05,6,7,0,OK
2023-01-01,E045,Employee_45,Cashier,Full-time,12,21,12:01,20:58,9,8,1,Overtime
2023-01-01,E035,Employee_35,Cashier,Temporary,6,12,06:03,11:57,6,7,0,OK
2023-01-01,E008,Employee_8,Cashier,Temporary,7,13,07:02,12:56,6,7,0,OK
2023-01-01,E024,Employee_24,Security,Part-time,6,11,05:55,11:00,5,6,0,OK
2023-01-01,E049,Employee_49,Manager,Seasonal,8,12,08:05,11:56,4,5,0,OK
2023-01-01,E093,Employee_93,Customer Assistant,Temporary,10,16,10:01,15:57,6,7,0,OK
2023-01-01,E054,Employee_54,Cashier,Temporary,9,16,08:57,15:56,7,7,0,OK
2023-01-01,E041,Employee_41,Security,Seasonal,12,16,11:56,15:56,4,5,0,OK
2023-01-01,E014,Employee_14,Security,Part-time,8,14,07:58,14:00,6,6,0,OK
2023-01-01,E029,Employee_29,Manager,Seasonal,8,13,08:01,12:57,5,5,0,OK
2023-01-01,E084,Employee_84,Manager,Full-time,7,16,07:00,15:59,9,8,1,Overtime
2023-01-01,E033,Employee_33,Stocker,Temporary,7,14,06:57,14:00,7,7,0,OK
2023-01-01,E025,Employee_25,Customer Assistant,Seasonal,12,17,11:57,16:59,5,5,0,OK
2023-01-01,E004,Employee_4,Customer Assistant,Part-time,10,14,10:04,13:58,4,6,0,OK
2023-01-01,E058,Employee_58,Cashier,Part-time,9,14,08:56,13:58,5,6,0,OK
2023-01-01,E020,Employee_20,Customer Assistant,Part-time,14,20,14:01,19:58,6,6,0,OK
2023-01-01,E063,Employee_63,Stocker,Seasonal,6,10,06:01,09:56,4,5,0,OK
2023-01-01,E086,Employee_86,Manager,Seasonal,11,15,10:57,15:02,4,5,0,OK
2023-01-01,E055,Employee_55,Cashier,Part-time,8,13,07:55,13:05,5,6,0,OK
2023-01-01,E015,Employee_15,Security,Part-time,11,17,10:56,17:03,6,6,0,OK
2023-01-02,E041,Employee_41,Security,Seasonal,14,19,14:00,19:03,5,5,0,OK
2023-01-02,E022,Employee_22,Cashier,Seasonal,13,18,12:58,18:01,5,5,0,OK
2023-01-02,E001,Employee_1,Cashier,Part-time,14,19,14:02,18:58,5,6,0,OK
2023-01-02,E056,Employee_56,Customer Assistant,Temporary,11,18,10:59,18:04,7,7,0,OK
2023-01-02,E053,Employee_53,Security,Part-time,7,13,07:00,13:00,6,6,0,OK
2023-01-02,E040,Employee_40,Manager,Temporary,12,18,12:00,18:04,6,7,0,OK
2023-01-02,E073,Employee_73,Stocker,Part-time,9,15,08:55,15:03,6,6,0,OK
2023-01-02,E034,Employee_34,Security,Part-time,11,17,11:02,17:03,6,6,0,OK
2023-01-02,E065,Employee_65,Manager,Seasonal,14,18,13:58,18:04,4,5,0,OK
2023-01-02,E055,Employee_55,Cashier,Part-time,10,14,09:57,14:05,4,6,0,OK
2023-01-02,E020,Employee_20,Customer Assistant,Part-time,8,14,07:55,13:59,6,6,0,OK
2023-01-02,E087,Employee_87,Manager,Full-time,7,15,07:00,14:58,8,8,0,OK
2023-01-02,E003,Employee_3,Customer Assistant,Seasonal,12,16,12:02,16:04,4,5,0,OK
2023-01-02,E010,Employee_10,Manager,Temporary,8,15,08:05,15:03,7,7,0,OK
2023-01-02,E017,Employee_17,Security,Seasonal,12,17,12:05,17:03,5,5,0,OK
2023-01-02,E035,Employee_35,Cashier,Temporary,8,14,07:55,14:05,6,7,0,OK
2023-01-02,E012,Employee_12,Cashier,Seasonal,8,13,07:56,13:00,5,5,0,OK
2023-01-02,E062,Employee_62,Cashier,Seasonal,11,16,10:58,16:05,5,5,0,OK
2023-01-02,E067,Employee_67,Cashier,Full-time,6,14,06:05,14:04,8,8,0,OK
2023-01-02,E079,Employee_79,Cashier,Part-time,13,17,13:02,17:04,4,6,0,OK
2023-01-02,E092,Employee_92,Security,Seasonal,14,18,14:05,17:56,4,5,0,OK
2023-01-02,E078,Employee_78,Manager,Part-time,8,14,07:56,14:05,6,6,0,OK
2023-01-02,E081,Employee_81,Customer Assistant,Part-time,10,15,10:02,15:01,5,6,0,OK
2023-01-02,E086,Employee_86,Manager,Seasonal,14,18,13:56,18:02,4,5,0,OK
2023-01-02,E024,Employee_24,Security,Part-time,9,15,09:00,15:02,6,6,0,OK
2023-01-02,E025,Employee_25,Customer Assistant,Seasonal,12,16,11:58,16:05,4,5,0,OK
2023-01-02,E099,Employee_99,Customer Assistant,Part-time,11,15,11:01,14:58,4,6,0,OK
2023-01-02,E096,Employee_96,Customer Assistant,Part-time,6,12,05:56,12:00,6,6,0,OK
2023-01-02,E080,Employee_80,Cashier,Temporary,10,17,09:58,16:55,7,7,0,OK
2023-01-02,E036,Employee_36,Manager,Seasonal,12,17,11:55,16:58,5,5,0,OK
2023-01-03,E014,Employee_14,Security,Part-time,7,13,06:55,13:04,6,6,0,OK
2023-01-03,E047,Employee_47,Customer Assistant,Full-time,14,22,14:05,22:02,8,8,0,OK
2023-01-03,E075,Employee_75,Stocker,Full-time,12,20,11:58,19:58,8,8,0,OK
2023-01-03,E061,Employee_61,Customer Assistant,Part-time,7,11,06:58,10:59,4,6,0,OK
2023-01-03,E037,Employee_37,Cashier,Part-time,12,18,12:00,17:59,6,6,0,OK
2023-01-03,E083,Employee_83,Customer Assistant,Part-time,6,10,05:55,09:55,4,6,0,OK
2023-01-03,E060,Employee_60,Customer Assistant,Seasonal,9,13,09:01,13:03,4,5,0,OK
2023-01-03,E043,Employee_43,Customer Assistant,Full-time,8,16,08:02,16:03,8,8,0,OK
2023-01-03,E074,Employee_74,Security,Temporary,13,19,13:04,18:57,6,7,0,OK
2023-01-03,E079,Employee_79,Cashier,Part-time,14,18,14:02,17:58,4,6,0,OK
2023-01-03,E008,Employee_8,Cashier,Temporary,6,12,05:57,12:03,6,7,0,OK
2023-01-03,E040,Employee_40,Manager,Temporary,10,16,09:57,15:55,6,7,0,OK
2023-01-03,E022,Employee_22,Cashier,Seasonal,10,15,09:57,14:55,5,5,0,OK
2023-01-03,E053,Employee_53,Security,Part-time,14,18,14:00,18:00,4,6,0,OK
2023-01-03,E076,Employee_76,Security,Full-time,10,18,10:04,18:05,8,8,0,OK
2023-01-03,E017,Employee_17,Security,Seasonal,8,13,07:58,13:02,5,5,0,OK
2023-01-03,E004,Employee_4,Customer Assistant,Part-time,13,19,13:05,19:03,6,6,0,OK
2023-01-03,E010,Employee_10,Manager,Temporary,9,15,08:59,14:58,6,7,0,OK
2023-01-03,E098,Employee_98,Stocker,Seasonal,11,15,10:57,15:05,4,5,0,OK
2023-01-03,E041,Employee_41,Security,Seasonal,10,15,10:05,15:02,5,5,0,OK
2023-01-03,E045,Employee_45,Cashier,Full-time,11,20,11:03,20:04,9,8,1,Overtime
2023-01-03,E006,Employee_6,Customer Assistant,Seasonal,10,14,10:00,14:03,4,5,0,OK
2023-01-03,E058,Employee_58,Cashier,Part-time,6,12,06:05,11:55,6,6,0,OK
2023-01-03,E077,Employee_77,Customer Assistant,Seasonal,8,12,08:03,11:59,4,5,0,OK
2023-01-03,E033,Employee_33,Stocker,Temporary,13,19,13:03,18:55,6,7,0,OK
2023-01-03,E073,Employee_73,Stocker,Part-time,8,14,08:03,13:57,6,6,0,OK
2023-01-03,E007,Employee_7,Customer Assistant,Seasonal,6,10,06:00,09:59,4,5,0,OK
2023-01-03,E031,Employee_31,Cashier,Temporary,6,12,05:59,12:04,6,7,0,OK
2023-01-03,E090,Employee_90,Manager,Seasonal,11,15,10:55,14:56,4,5,0,OK
2023-01-03,E042,Employee_42,Cashier,Seasonal,8,13,08:03,13:03,5,5,0,OK
2023-01-04,E066,Employee_66,Customer Assistant,Part-time,10,14,09:56,14:03,4,6,0,OK
2023-01-04,E083,Employee_83,Customer Assistant,Part-time,11,16,10:58,15:58,5,6,0,OK
2023-01-04,E096,Employee_96,Customer Assistant,Part-time,7,12,07:01,11:57,5,6,0,OK
2023-01-04,E009,Employee_9,Customer Assistant,Seasonal,6,11,06:03,10:56,5,5,0,OK
2023-01-04,E086,Employee_86,Manager,Seasonal,14,19,13:55,18:57,5,5,0,OK
2023-01-04,E052,Employee_52,Cashier,Seasonal,14,19,14:02,19:01,5,5,0,OK
2023-01-04,E034,Employee_34,Security,Part-time,10,15,09:59,14:55,5,6,0,OK
2023-01-04,E069,Employee_69,Manager,Seasonal,8,12,08:02,11:56,4,5,0,OK
2023-01-04,E005,Employee_5,Stocker,Part-time,11,16,10:59,15:56,5,6,0,OK
2023-01-04,E017,Employee_17,Security,Seasonal,11,16,11:01,15:57,5,5,0,OK
2023-01-04,E081,Employee_81,Customer Assistant,Part-time,9,15,09:05,14:58,6,6,0,OK
2023-01-04,E097,Employee_97,Customer Assistant,Part-time,11,16,11:05,15:57,5,6,0,OK
2023-01-04,E053,Employee_53,Security,Part-time,6,11,06:04,11:02,5,6,0,OK
2023-01-04,E032,Employee_32,Stocker,Full-time,12,20,12:05,20:05,8,8,0,OK
2023-01-04,E075,Employee_75,Stocker,Full-time,14,22,14:05,21:58,8,8,0,OK
2023-01-04,E070,Employee_70,Manager,Temporary,7,14,07:00,13:55,7,7,0,OK
2023-01-04,E048,Employee_48,Security,Temporary,7,14,06:55,14:04,7,7,0,OK
2023-01-04,E060,Employee_60,Customer Assistant,Seasonal,6,11,05:59,10:56,5,5,0,OK
2023-01-04,E092,Employee_92,Security,Seasonal,14,18,14:04,17:56,4,5,0,OK
2023-01-04,E035,Employee_35,Cashier,Temporary,11,17,11:05,16:59,6,7,0,OK
2023-01-04,E025,Employee_25,Customer Assistant,Seasonal,11,16,10:57,15:55,5,5,0,OK
2023-01-04,E043,Employee_43,Customer Assistant,Full-time,13,21,12:56,21:05,8,8,0,OK
2023-01-04,E071,Employee_71,Cashier,Full-time,6,14,06:00,13:58,8,8,0,OK
2023-01-04,E055,Employee_55,Cashier,Part-time,12,17,12:01,17:03,5,6,0,OK
2023-01-04,E085,Employee_85,Manager,Seasonal,8,12,08:01,12:05,4,5,0,OK
2023-01-04,E051,Employee_51,Manager,Temporary,8,14,08:02,14:04,6,7,0,OK
2023-01-04,E042,Employee_42,Cashier,Seasonal,8,12,08:00,12:01,4,5,0,OK
2023-01-04,E014,Employee_14,Security,Part-time,11,17,11:02,16:59,6,6,0,OK
2023-01-04,E061,Employee_61,Customer Assistant,Part-time,14,18,13:58,17:59,4,6,0,OK
2023-01-04,E100,Employee_100,Customer Assistant,Seasonal,11,16,11:01,15:59,5,5,0,OK
2023-01-05,E063,Employee_63,Stocker,Seasonal,8,13,07:57,13:02,5,5,0,OK
2023-01-05,E048,Employee_48,Security,Temporary,12,18,12:04,18:03,6,7,0,OK
2023-01-05,E022,Employee_22,Cashier,Seasonal,11,15,10:57,15:04,4,5,0,OK
2023-01-05,E061,Employee_61,Customer Assistant,Part-time,10,16,10:05,15:57,6,6,0,OK
2023-01-05,E084,Employee_84,Manager,Full-time,10,19,10:05,19:00,9,8,1,Overtime
2023-01-05,E065,Employee_65,Manager,Seasonal,11,16,10:59,16:05,5,5,0,OK
2023-01-05,E093,Employee_93,Customer Assistant,Temporary,7,13,07:01,12:57,6,7,0,OK
2023-01-05,E071,Employee_71,Cashier,Full-time,9,18,09:02,17:57,9,8,1,Overtime
2023-01-05,E047,Employee_47,Customer Assistant,Full-time,8,16,08:05,16:04,8,8,0,OK
2023-01-05,E070,Employee_70,Manager,Temporary,10,17,10:00,16:55,7,7,0,OK
2023-01-05,E036,Employee_36,Manager,Seasonal,14,18,13:55,18:04,4,5,0,OK
2023-01-05,E060,Employee_60,Customer Assistant,Seasonal,13,18,12:57,17:55,5,5,0,OK
2023-01-05,E074,Employee_74,Security,Temporary,11,18,10:59,17:56,7,7,0,OK
2023-01-05,E059,Employee_59,Security,Temporary,9,16,09:00,16:01,7,7,0,OK
2023-01-05,E021,Employee_21,Security,Temporary,6,12,05:55,11:59,6,7,0,OK
2023-01-05,E024,Employee_24,Security,Part-time,7,13,06:59,12:56,6,6,0,OK
2023-01-05,E023,Employee_23,Manager,Full-time,8,16,07:57,16:05,8,8,0,OK
2023-01-05,E080,Employee_80,Cashier,Temporary,10,16,10:03,16:05,6,7,0,OK
2023-01-05,E075,Employee_75,Stocker,Full-time,10,19,10:03,19:05,9,8,1,Overtime
2023-01-05,E034,Employee_34,Security,Part-time,8,13,08:05,12:56,5,6,0,OK
2023-01-05,E097,Employee_97,Customer Assistant,Part-time,13,19,13:01,19:00,6,6,0,OK
2023-01-05,E016,Employee_16,Cashier,Part-time,8,13,08:03,12:55,5,6,0,OK
2023-01-05,E028,Employee_28,Cashier,Part-time,11,17,10:55,16:57,6,6,0,OK
2023-01-05,E052,Employee_52,Cashier,Seasonal,6,10,05:55,10:03,4,5,0,OK
